노드번호	갈수있는 노드	epsg3857	placeCode
1	"435,436,452"	"14096697.47789253,4492063.346865704"	-
2	"452,453,6"	"14096783.383143578,4492000.237230603"	-
3	"4,5,6,7,8,14,435"	"14096708.743425,4491982.6142304"	-
4	"6,9,10,11,14"	"14096740.39155623,4491955.143141974"	-
5	"7,14,8,6"	"14096689.62986843,4491976.646512069"	SX
6	"11,10,9,14"	"14096760.696231354,4491962.315596683"	-
7	"8,14,9,10,11,434"	"14096684.854262274,4491958.141003307"	SX
8	"9,10,11,14"	"14096696.498281013,4491927.083761707"	SX
9	"10,11,498"	"14096731.430337224,4491917.235679461"	-
10	"11,14,505"	"14096743.374918591,4491919.631158076"	-
11	"14,12"	"14096761.58678728,4491944.104295464"	-
12	"11,18,19"	"14096762.187912535,4491945.000851091"	-
13	"498,422,146"	"14096686.345943455,4491859.3100909125"	-
14	0	"14096707.841737125,4491938.430781148"	-
15	"16,23"	"14096901.014449503,4491912.304637479"	-
16	"17,24"	"14096916.098240506,4491901.405922221"	-
17	"36,37,70"	"14096973.873056222,4491857.671088578"	-
18	"20,22"	"14096826.975856174,4491894.401612468"	-
19	29	"14096784.273699503,4491873.654874383"	FOODXIA
20	21	"14096819.80688097,4491884.259380223"	-
21	"25,30"	"14096838.464027625,4491872.3100501"	-
22	23	"14096857.421736907,4491884.847741498"	-
23	"24,25"	"14096875.043612298,4491874.103149181"	-
24	"25,28"	"14096889.682125334,4491863.344559286"	-
25	26	"14096871.169694018,4491849.910345959"	-
26	31	"14096859.826237906,4491837.666875575"	-
27	"28,35"	"14096920.139138017,4491822.733783413"	-
28	70	"14096927.608675849,4491834.823142504"	-
29	"505,506,507,31,32,110,146,129,128,127,115,113"	"14096765.47183751,4491849.448063636"	-
30	"506,507,31"	"14096818.916325036,4491844.965327026"	"IPR,FOODPRO"
31	"127,128,129,507,506"	"14096836.983478393,4491806.021633204"	IAD
32	"115,127,128,129,506"	"14096859.970953245,4491786.3116964195"	ICE
33	"34,110,109,35"	"14096902.973672535,4491753.77006934"	ICE
34	"35,109,110"	"14096912.524884854,4491746.009403465"	ICE
35	"109,110,39"	"14096934.321241144,4491783.033714781"	-
