placeCode	title	sort	distance	location	time	callNum	비고
FOODXIA	샹차이	식당	-	"37.37755544678956, 126.6337215558319"	11:00 ~ 21:30 | Break Time : 15:30 ~ 17 : 00 | 일요일 휴무	0328320071	-
FOODSTU0	학생식당	식당	-	"37.374161554994025, 126.63175437187864"	점심 10:30 ~ 14:00 | 저녁 17:00 ~ 18:30	-	-
FOODFHO	포썸	식당	-	"37.37580460235628, 126.6352166271562"	10:00 ~ 16:00	-	-
FOODSAL	샐러디	식당	-	"37.3728164348874, 126.63167794108627"	평일 08:00 ~ 21:00 | 주말 10:00 ~ 19:00	07041552222	-
FOODGYO	교동짬뽕	식당	-	"37.373598469548796, 126.6327120432334"	-	-	-
FOODGON	공씨네 주먹밥	식당	-	"37.374170080853816, 126.63106735684366"	-	-	-
FOODTOM	토마토 도시락	식당	-	"37.37409569672678, 126.63077753024362"	-	0328323057	-
FOODMEL	멜팅그릴	식당	-	"37.37418025561154, 126.63064328429772"	-	-	-
FOODGOG	고기굽는 집	식당	-	"37.37426000748707, 126.63074526674282"	-	-	-
FOODSTU2	제2기숙사 식당	식당	-	"37.37407707906567, 126.6291203692786"	"평일 점심 11:30 ~ 13:30, 평일 저녁 17:30 ~ 19:00 | 주말 점심 12:00 ~ 13:30, 주말 저녁 17:30 ~ 18:30"	-	-
FOODMOM	맘스터치	식당	-	"37.37312814455268 ,  126.62964437322435"	11:00 ~ 20:00	0328583211	-
FOODBUN	분식이 이래도 되는가	식당	-	"37.37383188979216, 126.63423723411844"	10:00 ~ 20:00	-	-
FOODPAL	팔뚝김밥	식당	-	"37.37385320508752, 126.63437134456358"	-	-	-
FOODPRO	교직원 식당	식당	-	"37.37755544678956, 126.6337215558319"	점심 11:00 ~ 13:30	-	-
FOOD27	27호관 카페테리아 식당	식당	-	"37.372111543544854, 126.63334407988204"	점심 A코너 11:00 ~ 14:00 | 점심 B코너 11:00 ~ 소진시 | 저녁 A코너 17:00 ~ 19:00	-	-
CONGSNAT	GS25 자연대점	편의점	-	"37.3759437739758, 126.63535043180745"	평일 08:00 ~ 23:00 | 주말 09:00 ~ 23:00	-	-
CONGSENG	GS25 공대점	편의점	-	"37.373560035358274, 126.63269033639922"	유 · 무인 24시간 운영	-	-
CONGSWEL	GS25 복지회관점	편의점	-	"37.374492426593974, 126.63180199920689"	-	-	-
CONGSSCL	GS25 사회대점	편의점	-	"37.375898507917206, 126.632942710024"	-	-	-
CONGSLBR	GS25 인문대점	편의점	-	"37.37516172343962, 126.63184701114986"	-	-	-
CONGSBIO	GS25 생명대점	편의점	-	"37.37251454200154, 126.6313240204307"	-	-	-
CONEMSTU3	이마트24 (제 3기숙사)	편의점	-	"37.37338368457927, 126.62924514918898"	-	-	-
CONCUSTU2	CU (제 2기숙사)	편의점	-	"37.374491887151116, 126.62922840473455"	-	-	-
CAFECDLIB	카페드림 학산도서관점	카페	-	"37.37507926074139, 126.63380803853026"	학기중 평일 08:30 ~ 20:30 | 방학중 평일 10:00~16:00	0328336451	http://www.cafedream.co.kr/
CAFECDOUT	카페드림 야외테라스점	카페	-	"37.37431144615237, 126.631535971163"	"학기중 평일 08:30 ~ 20:30, 토 10:00 ~ 16:00 | 방학중 평일 10:00~16:00"	0328346451	-
CAFECDSTU0	카페드림 학생식당점	카페	-	"37.37421865248861, 126.63188967424874"	-	-	-
CAFECT	카페테리아	카페	-	"37.37592557059984, 126.63253032269571"	-	-	-
CAFEJC	쥬씨	카페	-	"37.37413423309108, 126.63071550509757"	-	-	-
CAFEGZ	그라찌에 빵집	카페	-	"37.37418042028796, 126.63086801171771"	09:00 ~ 15:00	-	-
CAFEMD	미스터디유커피	카페	-	"37.37255390167423, 126.63121353199891"	평일 09:00 ~ 20:00 | 주말 11:00 ~ 20:00	-	-
CAFEHY	혜윰(3기숙사)	카페	-	"37.37329741026271, 126.62974797216542 "	08:30 ~ 20:00	-	-
CAFEPJS	박종석 커피	카페	-	"37.373663534342825, 126.6344384086964"	-	-	-
CAFEPG	팔공티	카페	-	"37.37351006369295, 126.6345537436792"	"평일 08:30 ~ 17:30 | 주말, 공휴일 휴무"	-	-
CAFEJJCF	제이제이커피	카페	-	"37.37425821816854 , 126.62941866229316"	-	-	-
FACSLB	학산 스마트 도서관	편의시설	-	"37.37463006899657, 126.63190332351397"	-	-	-
FACSBATMWEL	신한은행 ATM (복지회관)	편의시설	-	"37.374643633823815, 126.63199341239437"	-	-	-
FACSB	신한은행	편의시설	-	"37.3745275791113, 126.63195832514621"	평일 09:30 ~ 15:30	0328511090	-
